x,logf,std::log,ulp_error
5.87747e-39,-88.0297,-88.0297,0.219205
5.90686e-39,-88.0247,-88.0247,0.0388285
5.93625e-39,-88.0197,-88.0197,0.427733
5.96563e-39,-88.0148,-88.0148,0.712969
5.99502e-39,-88.0099,-88.0099,0.786719
6.02441e-39,-88.005,-88.005,0.258482
6.0538e-39,-88.0001,-88.0001,0.546892
6.08318e-39,-87.9953,-87.9953,0.293877
6.11257e-39,-87.9905,-87.9905,0.0482881
6.14196e-39,-87.9857,-87.9857,0.60998
6.17135e-39,-87.9809,-87.9809,0.237651
6.20073e-39,-87.9762,-87.9762,0.0770982
6.23012e-39,-87.9714,-87.9714,0.634455
6.25951e-39,-87.9667,-87.9667,0.459123
6.28889e-39,-87.962,-87.962,0.3654
6.31828e-39,-87.9574,-87.9574,0.438774
6.34767e-39,-87.9527,-87.9527,0.35247
6.37706e-39,-87.9481,-87.9481,0.0758685
6.40644e-39,-87.9435,-87.9435,0.308114
6.43583e-39,-87.9389,-87.9389,0.421468
6.46522e-39,-87.9344,-87.9344,0.296271
6.49461e-39,-87.9298,-87.9298,0.149213
6.52399e-39,-87.9253,-87.9253,0.117254
6.55338e-39,-87.9208,-87.9208,0.0151131
6.58277e-39,-87.9164,-87.9164,0.576747
6.61216e-39,-87.9119,-87.9119,0.277255
6.64154e-39,-87.9075,-87.9075,0.542036
6.67093e-39,-87.9031,-87.9031,0.212927
6.70032e-39,-87.8987,-87.8987,0.367677
6.72971e-39,-87.8943,-87.8943,0.0263966
6.75909e-39,-87.8899,-87.8899,0.107386
6.78848e-39,-87.8856,-87.8856,0.263756
6.81787e-39,-87.8813,-87.8813,0.935814
6.84725e-39,-87.877,-87.877,0.326769
6.87664e-39,-87.8727,-87.8727,0.0231161
6.90603e-39,-87.8684,-87.8684,0.0474723
6.93542e-39,-87.8642,-87.8642,0.464899
6.9648e-39,-87.8599,-87.8599,0.262173
6.99419e-39,-87.8557,-87.8557,0.366621
7.02358e-39,-87.8515,-87.8515,0.188694
7.05297e-39,-87.8474,-87.8474,0.475506
7.08235e-39,-87.8432,-87.8432,0.460705
7.11174e-39,-87.8391,-87.8391,0.215112
7.14113e-39,-87.8349,-87.8349,0.294421
7.17052e-39,-87.8308,-87.8308,1.00204
7.1999e-39,-87.8268,-87.8268,0.0713054
7.22929e-39,-87.8227,-87.8227,0.0175528
7.25868e-39,-87.8186,-87.8186,0.702262
7.28807e-39,-87.8146,-87.8146,0.298962
7.31745e-39,-87.8106,-87.8106,0.739334
7.34684e-39,-87.8065,-87.8065,0.090763
7.37623e-39,-87.8026,-87.8026,0.344927
7.40561e-39,-87.7986,-87.7986,0.506297
7.435e-39,-87.7946,-87.7946,0.578569
7.46439e-39,-87.7907,-87.7907,0.640415
7.49378e-39,-87.7867,-87.7867,0.329468
7.52316e-39,-87.7828,-87.7828,0.66041
7.55255e-39,-87.7789,-87.7789,0.674691
7.58194e-39,-87.7751,-87.775,0.680176
7.61133e-39,-87.7712,-87.7712,0.259238
7.64071e-39,-87.7673,-87.7673,0.82327
7.6701e-39,-87.7635,-87.7635,0.990871
7.69949e-39,-87.7597,-87.7597,0.210409
7.72888e-39,-87.7559,-87.7559,0.544346
7.75826e-39,-87.7521,-87.7521,0.959556
7.78765e-39,-87.7483,-87.7483,0.517806
7.81704e-39,-87.7445,-87.7445,0.186003
7.84643e-39,-87.7408,-87.7408,0.0252361
7.87581e-39,-87.737,-87.737,0.00245096
7.9052e-39,-87.7333,-87.7333,0.178072
7.93459e-39,-87.7296,-87.7296,0.480912
7.96397e-39,-87.7259,-87.7259,0.0852723
7.99336e-39,-87.7222,-87.7222,0.866638
8.02275e-39,-87.7185,-87.7185,0.853391
8.05214e-39,-87.7149,-87.7149,0.0815486
8.08152e-39,-87.7112,-87.7112,0.58665
8.11091e-39,-87.7076,-87.7076,0.358478
8.1403e-39,-87.704,-87.704,0.387005
8.16968e-39,-87.7004,-87.7004,0.292639
8.19907e-39,-87.6968,-87.6968,0.354212
8.22846e-39,-87.6932,-87.6932,0.317132
8.25785e-39,-87.6897,-87.6897,0.585887
8.28724e-39,-87.6861,-87.6861,0.216918
8.31662e-39,-87.6826,-87.6826,0.177571
8.34601e-39,-87.679,-87.679,0.476277
8.3754e-39,-87.6755,-87.6755,0.222787
8.40479e-39,-87.672,-87.672,0.330084
8.43417e-39,-87.6685,-87.6685,0.813095
8.46356e-39,-87.665,-87.665,0.273402
8.49295e-39,-87.6616,-87.6616,1.03815
8.52233e-39,-87.6581,-87.6581,0.198016
8.55172e-39,-87.6547,-87.6547,0.0142612
8.58111e-39,-87.6513,-87.6513,0.356867
8.6105e-39,-87.6478,-87.6478,0.258133
8.63988e-39,-87.6444,-87.6444,0.335153
8.66927e-39,-87.641,-87.641,0.390769
8.69866e-39,-87.6376,-87.6376,0.0385767
8.72805e-39,-87.6343,-87.6343,0.0360186
8.75743e-39,-87.6309,-87.6309,0.603639
8.78682e-39,-87.6276,-87.6276,0.304645
8.81621e-39,-87.6242,-87.6242,0.341855
8.8456e-39,-87.6209,-87.6209,0.531925
8.87498e-39,-87.6176,-87.6176,0.254531
8.90437e-39,-87.6143,-87.6143,0.54007
8.93376e-39,-87.611,-87.611,0.418571
8.96314e-39,-87.6077,-87.6077,0.878717
8.99253e-39,-87.6044,-87.6044,0.0906309
9.02192e-39,-87.6012,-87.6012,0.439362
9.05131e-39,-87.5979,-87.5979,0.199156
9.08069e-39,-87.5947,-87.5947,0.679655
9.11008e-39,-87.5914,-87.5914,0.16548
9.13947e-39,-87.5882,-87.5882,0.307549
9.16886e-39,-87.585,-87.585,0.0743618
9.19824e-39,-87.5818,-87.5818,0.48528
9.22763e-39,-87.5786,-87.5786,0.597213
9.25702e-39,-87.5754,-87.5754,0.370221
9.2864e-39,-87.5723,-87.5723,0.197573
9.31579e-39,-87.5691,-87.5691,0.0582028
9.34518e-39,-87.566,-87.566,0.242895
9.37457e-39,-87.5628,-87.5628,0.295912
9.40395e-39,-87.5597,-87.5597,0.527085
9.43334e-39,-87.5566,-87.5566,0.497786
9.46273e-39,-87.5535,-87.5535,0.196384
9.49212e-39,-87.5504,-87.5504,0.38858
9.5215e-39,-87.5473,-87.5473,0.22982
9.55089e-39,-87.5442,-87.5442,0.699635
9.58028e-39,-87.5411,-87.5411,0.38811
9.60967e-39,-87.5381,-87.538,0.824092
9.63905e-39,-87.535,-87.535,0.0343444
9.66844e-39,-87.532,-87.532,1.04533
9.69783e-39,-87.5289,-87.5289,0.845318
9.72722e-39,-87.5259,-87.5259,0.577231
9.7566e-39,-87.5229,-87.5229,0.82276
9.78599e-39,-87.5199,-87.5199,0.0147807
9.81538e-39,-87.5169,-87.5169,0.0435564
9.84476e-39,-87.5139,-87.5139,0.121327
9.87415e-39,-87.5109,-87.5109,0.564504
9.90354e-39,-87.5079,-87.5079,1.07073
9.93293e-39,-87.505,-87.505,0.441388
9.96231e-39,-87.502,-87.502,0.646249
9.9917e-39,-87.4991,-87.4991,0.729005
1.00211e-38,-87.4961,-87.4961,0.659534
1.00505e-38,-87.4932,-87.4932,0.518811
1.00799e-38,-87.4903,-87.4903,0.163948
1.01093e-38,-87.4874,-87.4874,0.750832
1.01386e-38,-87.4845,-87.4845,0.21192
1.0168e-38,-87.4816,-87.4816,0.410094
1.01974e-38,-87.4787,-87.4787,0.872981
1.02268e-38,-87.4758,-87.4758,0.0494844
1.02562e-38,-87.4729,-87.4729,0.143728
1.02856e-38,-87.4701,-87.4701,0.179761
1.0315e-38,-87.4672,-87.4672,0.145766
1.03444e-38,-87.4644,-87.4644,0.0300747
1.03737e-38,-87.4615,-87.4615,0.14342
1.04031e-38,-87.4587,-87.4587,0.351077
1.04325e-38,-87.4559,-87.4559,0.395281
1.04619e-38,-87.4531,-87.4531,0.0839845
1.04913e-38,-87.4503,-87.4503,0.243971
1.05207e-38,-87.4475,-87.4475,0.382137
1.05501e-38,-87.4447,-87.4447,1.00301
1.05794e-38,-87.4419,-87.4419,0.410525
1.06088e-38,-87.4391,-87.4391,0.181939
1.06382e-38,-87.4364,-87.4364,0.248674
1.06676e-38,-87.4336,-87.4336,0.337762
1.0697e-38,-87.4309,-87.4309,0.0877318
1.07264e-38,-87.4281,-87.4281,0.51469
1.07558e-38,-87.4254,-87.4254,0.116148
1.07852e-38,-87.4227,-87.4226,0.75621
1.08145e-38,-87.4199,-87.4199,0.406095
1.08439e-38,-87.4172,-87.4172,0.105097
1.08733e-38,-87.4145,-87.4145,0.824535
1.09027e-38,-87.4118,-87.4118,0.603435
1.09321e-38,-87.4091,-87.4091,0.430013
1.09615e-38,-87.4064,-87.4064,0.292627
1.09909e-38,-87.4038,-87.4038,0.213194
1.10203e-38,-87.4011,-87.4011,0.213413
1.10496e-38,-87.3984,-87.3984,0.281518
1.1079e-38,-87.3958,-87.3958,0.405883
1.11084e-38,-87.3931,-87.3931,0.391914
1.11378e-38,-87.3905,-87.3905,0.90949
1.11672e-38,-87.3878,-87.3878,0.298352
1.11966e-38,-87.3852,-87.3852,0.236935
1.1226e-38,-87.3826,-87.3826,0.658762
1.12554e-38,-87.38,-87.38,0.00482788
1.12847e-38,-87.3774,-87.3774,0.208802
1.13141e-38,-87.3748,-87.3748,0.327598
1.13435e-38,-87.3722,-87.3722,0.685561
1.13729e-38,-87.3696,-87.3696,0.802826
1.14023e-38,-87.367,-87.367,0.061078
1.14317e-38,-87.3644,-87.3644,0.432565
1.14611e-38,-87.3619,-87.3619,0.0460675
1.14905e-38,-87.3593,-87.3593,0.402476
1.15198e-38,-87.3567,-87.3567,0.600247
1.15492e-38,-87.3542,-87.3542,0.333059
1.15786e-38,-87.3517,-87.3517,0.433624
1.1608e-38,-87.3491,-87.3491,0.326015
1.16374e-38,-87.3466,-87.3466,0.0900971
1.16668e-38,-87.3441,-87.3441,0.670335
1.16962e-38,-87.3416,-87.3416,0.403202
1.17256e-38,-87.3391,-87.339,0.308653
1.17549e-38,-87.3365,-87.3365,0.406456
1.18137e-38,-87.3316,-87.3316,0.132875
1.18725e-38,-87.3266,-87.3266,0.614983
1.19313e-38,-87.3217,-87.3217,0.884825
1.199e-38,-87.3167,-87.3167,0.973969
1.20488e-38,-87.3119,-87.3119,0.0864758
1.21076e-38,-87.307,-87.307,0.734142
1.21664e-38,-87.3021,-87.3021,0.466031
1.22251e-38,-87.2973,-87.2973,0.138962
1.22839e-38,-87.2925,-87.2925,0.782278
1.23427e-38,-87.2878,-87.2878,0.424901
1.24015e-38,-87.283,-87.283,0.0953417
1.24602e-38,-87.2783,-87.2783,0.821706
1.2519e-38,-87.2736,-87.2736,0.646373
1.25778e-38,-87.2689,-87.2689,0.567253
1.26366e-38,-87.2642,-87.2642,0.626024
1.26953e-38,-87.2596,-87.2596,0.150752
1.27541e-38,-87.255,-87.255,0.263119
1.28129e-38,-87.2504,-87.2504,0.106529
1.28717e-38,-87.2458,-87.2458,0.234218
1.29304e-38,-87.2412,-87.2412,0.0948163
1.29892e-38,-87.2367,-87.2367,0.336463
1.3048e-38,-87.2322,-87.2322,0.0840733
1.31068e-38,-87.2277,-87.2277,0.172137
1.31655e-38,-87.2232,-87.2232,0.375546
1.32243e-38,-87.2188,-87.2188,0.464505
1.32831e-38,-87.2143,-87.2143,0.715459
1.33419e-38,-87.2099,-87.2099,0.400177
1.34006e-38,-87.2055,-87.2055,0.541221
1.34594e-38,-87.2011,-87.2011,0.160854
1.35182e-38,-87.1968,-87.1968,0.281049
1.3577e-38,-87.1924,-87.1924,0.0765059
1.36357e-38,-87.1881,-87.1881,1.10959
1.36945e-38,-87.1838,-87.1838,0.139519
1.37533e-38,-87.1795,-87.1795,0.197012
1.38121e-38,-87.1753,-87.1753,0.139778
1.38708e-38,-87.171,-87.171,0.277649
1.39296e-38,-87.1668,-87.1668,0.0749229
1.39884e-38,-87.1626,-87.1626,0.179371
1.40472e-38,-87.1584,-87.1584,0.375944
1.41059e-38,-87.1542,-87.1542,0.662756
1.41647e-38,-87.1501,-87.1501,0.660922
1.42235e-38,-87.1459,-87.1459,0.402362
1.42823e-38,-87.1418,-87.1418,0.0943103
