logf(-1) = nan
  errno: 33
  FE_INVALID: YES
  FE_DIVBYZERO: NO

logf(0) = -inf
  errno: 34
  FE_INVALID: NO
  FE_DIVBYZERO: YES

logf(inf) = inf
  errno: 0
  FE_INVALID: NO
  FE_DIVBYZERO: NO

logf(nan) = nan
  errno: 0
  FE_INVALID: NO
  FE_DIVBYZERO: NO

logf(1) = 0
  errno: 0
  FE_INVALID: NO
  FE_DIVBYZERO: NO

Interval [5.87747e-39, 1.17549e-38] | Max ULP Error: 0.722736001
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.911446273
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.911116719
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.723866343
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.536616027
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.660392106
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.847642481
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.975619674
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.788369298
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.601118982
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.596699476
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.783949792
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.971200168
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.851362824
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.664112449
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.532895625
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.720146000
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.907396376
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.915865779
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.728615403
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.541365087
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.656453311
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.843703687
Interval [0.000000000, 0.000000000] | Max ULP Error: 1.030954003
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.791608930
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.604358613
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.592649519
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.779899895
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.967150211
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.856111884
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.668861568
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.528956890
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.716207206
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.903457582
Interval [0.000000000, 0.000000000] | Max ULP Error: 1.341551781
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.967051089
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.592550337
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.806194544
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.845389664
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.557137728
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.931638479
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.720046818
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.678698123
Interval [0.000000000, 0.000000000] | Max ULP Error: 1.053198814
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.598385453
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.804141998
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.847543299
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.551201642
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.925702333
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.725881934
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.676645517
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.975039780
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.600539088
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.798205853
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.853378356
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.549149036
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.923649788
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.728035510
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.670709372
Interval [0.000000000, 0.000000000] | Max ULP Error: 1.045210123
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.606374145
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.796153307
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.855531991
Interval [0.000000000, 0.000000000] | Max ULP Error: 0.543212950
